timestamp,Toronto,Temp (°C),Rel Hum (%),Wind Spd (km/h),hour,day_of_week,is_weekend
2025-01-01 01:00:00,4860,1.6,100.0,29.0,1,2,0
2025-01-01 02:00:00,4740,1.4,100.0,30.0,2,2,0
2025-01-01 03:00:00,4639,0.8,100.0,26.0,3,2,0
2025-01-01 04:00:00,4531,1.4,100.0,23.0,4,2,0
2025-01-01 05:00:00,4487,1.0,100.0,28.0,5,2,0
2025-01-01 06:00:00,4517,1.5,100.0,28.0,6,2,0
2025-01-01 07:00:00,4595,1.9,96.0,35.0,7,2,0
2025-01-01 08:00:00,4678,2.0,94.0,33.0,8,2,0
2025-01-01 09:00:00,4753,2.2,92.0,36.0,9,2,0
2025-01-01 10:00:00,4901,2.7,85.0,30.0,10,2,0
2025-01-01 11:00:00,5066,2.5,86.0,30.0,11,2,0
2025-01-01 12:00:00,5243,2.6,74.0,36.0,12,2,0
2025-01-01 13:00:00,5358,2.2,69.0,40.0,13,2,0
2025-01-01 14:00:00,5401,2.4,61.0,44.0,14,2,0
2025-01-01 15:00:00,5381,2.5,59.0,40.0,15,2,0
2025-01-01 16:00:00,5432,2.7,61.0,32.0,16,2,0
2025-01-01 17:00:00,5581,2.1,71.0,25.0,17,2,0
2025-01-01 18:00:00,5901,1.2,78.0,26.0,18,2,0
2025-01-01 19:00:00,5892,1.2,79.0,20.0,19,2,0
2025-01-01 20:00:00,5802,1.3,77.0,21.0,20,2,0
2025-01-01 21:00:00,5694,1.0,77.0,17.0,21,2,0
2025-01-01 22:00:00,5542,0.4,82.0,16.0,22,2,0
2025-01-01 23:00:00,5313,0.0,89.0,17.0,23,2,0
2025-01-02 00:00:00,5065,0.2,89.0,22.0,0,3,0
2025-01-02 01:00:00,4849,-0.1,89.0,18.0,1,3,0
2025-01-02 02:00:00,4675,-0.2,86.0,19.0,2,3,0
2025-01-02 03:00:00,4566,-0.2,95.0,16.0,3,3,0
2025-01-02 04:00:00,4555,0.3,85.0,18.0,4,3,0
2025-01-02 05:00:00,4585,0.1,79.0,20.0,5,3,0
2025-01-02 06:00:00,4747,-0.8,88.0,27.0,6,3,0
2025-01-02 07:00:00,5096,-0.9,80.0,26.0,7,3,0
2025-01-02 08:00:00,5500,-0.8,79.0,31.0,8,3,0
2025-01-02 09:00:00,5731,-0.6,81.0,29.0,9,3,0
2025-01-02 10:00:00,5920,-0.9,97.0,25.0,10,3,0
2025-01-02 11:00:00,6045,-1.7,99.0,35.0,11,3,0
2025-01-02 12:00:00,6186,-1.4,88.0,40.0,12,3,0
2025-01-02 13:00:00,6264,-0.8,77.0,38.0,13,3,0
2025-01-02 14:00:00,6232,-0.6,74.0,41.0,14,3,0
2025-01-02 15:00:00,6198,-1.3,71.0,40.0,15,3,0
