"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 00:00","2025","12","01","00:00","","-0.9","","-5.6","","71","","","","30","","39","","24.1","","100.16","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 01:00","2025","12","01","01:00","","-2.0","","-6.1","","74","","","","31","","33","","24.1","","100.28","","","","-9","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 02:00","2025","12","01","02:00","","-3.0","","-8.4","","66","","","","32","","34","","24.1","","100.41","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 03:00","2025","12","01","03:00","","-3.8","","-10.4","","60","","","","30","","35","","24.1","","100.56","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 04:00","2025","12","01","04:00","","-4.9","","-11.4","","61","","","","30","","33","","24.1","","100.63","","","","-13","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 05:00","2025","12","01","05:00","","-5.2","","-12.3","","58","","","","32","","23","","24.1","","100.71","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 06:00","2025","12","01","06:00","","-5.8","","-11.6","","64","","","","34","","17","","24.1","","100.80","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 07:00","2025","12","01","07:00","","-6.1","","-10.9","","69","","","","36","","16","","24.1","","100.86","","","","-12","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 08:00","2025","12","01","08:00","","-6.8","","-9.8","","79","","","","2","","12","","24.1","","100.87","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 09:00","2025","12","01","09:00","","-5.7","","-9.9","","72","","","","3","","7","","24.1","","100.96","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 10:00","2025","12","01","10:00","","-5.1","","-10.2","","68","","","","1","","6","","24.1","","101.00","","","","-8","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 11:00","2025","12","01","11:00","","-4.3","","-10.7","","61","","","","1","","6","","24.1","","100.94","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 12:00","2025","12","01","12:00","","-3.3","","-10.2","","59","","","","26","","8","","24.1","","100.84","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-12-01 13:00","2025","12","01","13:00","","-3.1","","-10.2","","59","","","","22","","4","","24.1","","100.77","","","","-5","","Mostly Cloudy"
